"Category Vertical Navigation","Vertikale Kategorienavigation"
"Display Product Count","Artikelanzahl anzeigen"
"Expand all categories","Alle Kategorien öffnen"
"Expand all max depth","Alle öffnen bis max. Tiefe"
"Leave empty or set to 0 for no limit","Leer lassen oder auf 0 setzen für keine Einschränkung"
"Hide Top Navigation","Top-Navigation verstecken"
"Hide Vertical Navigation","Vertikale Navigation verstecken"
"Root Categories","Wurzel-Kategorien"
"Store base","Store Basis"
"Current category children","Aktuelle Unterkategorien"
"Same level as current category","Gleiche Ebene wie aktuelle Kategorie"
"Fallback to store base","Auf Store Basis zurückfallen"
"If no current category is selected","Wenn keine aktuelle Kategorie ausgewählt ist"
"Category Level %d","Kategorie Ebene %d"
"Expand on Top Level","Aufklappen, wenn Artikel direkt aufgerufen wird"
"If your product is top level requested without a category path should VertNav expand the category listing to the first associated product category.","Soll der Kategoriebaum zur ersten, dem Artikel zugewiesenen Kategorie aufgeklappt werden, wenn der Artikel direkt (ohne Kategoriepfad in der URL) aufgerufen wurde?"
